ReVerb	OpenIE	Sem. Parsing
		
carnatic_musicians	carnatic_musicians	carnatic_musicians
		
		
was born in	was born	bear in
was born to	receive	compose
		bear to
	compose	
compose		
	learn	
play	was awarded	receive
is married to	die	
was born on		
	sing	
		play
	live	know as
sing	teach	composer of
		learn
died on		bear on
		compose in
	play	sing
was married to		accompany
receive		
carnatic_ragas	carnatic_ragas	carnatic_ragas
		
		
	is a ragam in	ragam in
is called		
yield		not contain
does not have	associate	
	is called	equivalent of
does not yield		
is a combination of	does not have	associate with
		
		not have
		
		derivative of
		
	is a janya ragam from	combination of
		
	is a combination of	
		
carnatic_singers	carnatic_singers	carnatic_singers
		
		
was born in	was born	bear in
	receive	
		
was born to	learn	bear to
		sing in
	has composed	
has also sung in		vocalist from
		compose
		sing
		receive
		
		artist in
		accompany
	was awarded	hail from
		
		
		
		
		
carnatic_compositions	carnatic_compositions	carnatic_compositions
		
		
carnatic_instrumentalists	carnatic_instrumentalists	carnatic_instrumentalists
		
		
was born in	was born	bear in
play	perform	
was born to	receive	bear to
		
was born on	was awarded	play
is married to	die	know as
	teach	
		
		receive
	learn	
	play	marry to
	accompany	accompany
		bear on
		teach
		
	compose	
		
		
carnatic_composers	carnatic_composers	carnatic_composers
		
		
was born in	compose	compose
compose	was born	
	live	bear in
lived in	has composed	composer of
		compose in
		live in
		
		bear to
	die	
	learn	
		write
